"","Reference.Type","Record.Number","Author","Year","Title","Journal","Volume","Issue","Pages","Short.Title","Label","Editor","Book.Title","City","Publisher","Short.Title..A.new.bat..Chiroptera","Date","Number.of.Pages","Academic.Department","University","Advisor","Thesis.Type","Series.Title","Notes","Last.Update.Date","Type.of.Medium","URL","Accession.Number","Series.Editor"
"1"," Journal Article","1282","D. Pagnac","2006","Scaphohippus, a new genus of horse (Mammalia; Equidae) from the Barstow Formation of California","Journal of Mammalian Evolution","13","1","37-61","Scaphohippus, a new genus of horse (Mammalia; Equidae) from the Barstow Formation of California","1358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2"," Journal Article","1281","R. M. Hunt, Jr. and E. Stepleton","2006","Biochronologic and lithostratigraphic reappraisal of the upper John Day Formation, north-central Oregon","PaleoBios","26","2","21-25","Biochronologic and lithostratigraphic reappraisal of the upper John Day Formation, north-central Oregon","1357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3"," Journal Article","1280","J. A. Baskin","2004","Bassariscus and Probassariscus (Mammalia, Carnivora, Procyonidae) from the early Barstovian (middle Miocene)","Journal of Vertebrate Paleontology","24","3","709-720","Bassariscus and Probassariscus (Mammalia, Carnivora, Procyonidae) from the early Barstovian (middle Miocene)","1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4"," Journal Article","1279","G. S. Morgan and R. S. White, Jr.","2005","Miocene and Pliocene vertebrates from Arizona","New Mexico Museum of Natural History and Science Bulletin","29",NA,"115-136","Miocene and Pliocene vertebrates from Arizona","1355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5"," Journal Article","1278","M. O. Woodburne","2007","Phyletic diversification of the Cormohipparion occidentale complex (Mammalia; Perissodactyla, Equidae), late Miocene, North America, and the origin of the old world Hippotherium datum","Bulletin of the American Museum of Natural History","306",NA,"1-138","Phyletic diversification of the Cormohipparion occidentale complex (Mammalia; Perissodactyla, Equidae), late Miocene, North America, and the origin of the old world Hippotherium datum","1354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6"," Journal Article","1277","R. M. Hunt, Jr.","2005","An early Miocene dome-skulled chalicothere from the ""Arikaree"" conglomerates of Darton; calibrating the ages of high plains paleovalleys against Rocky Mountain tectonism","American Museum Novitates","3486",NA,"1-45","An early Miocene dome-skulled chalicothere from the ""Arikaree"" conglomerates of Darton; calibrating the ages of high plains paleovalleys against Rocky Mountain tectonism","1353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7"," Journal Article","1276","B. J. MacFadden, N. Solounias and T. E. Cerling","1999","Ancient diets, ecology, and extinction of 5-million-year-old horses from Florida","Science","283",NA,"824-827","Ancient diets, ecology, and extinction of 5-million-year-old horses from Florida","1352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8"," Journal Article","1275","H. F. Evans","2000","A new specimen of the flying squirrel Cryptopterus webbi","Journal of Vertebrate Paleontology, Supplement","20","3","40A","A new specimen of the flying squirrel Cryptopterus webbi","1351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9"," Journal Article","1274","S. D. Webb, R. C. Hulbert, Jr., G. S. Morgan and H. F. Evans","2008","Terrestrial mammals of the Palmetto fauna (early Pliocene, latest Hemphillian) from the central Florida phosphate district","Natural History Museum of Los Angeles County, Science Series","41",NA,"293-312","Terrestrial mammals of the Palmetto fauna (early Pliocene, latest Hemphillian) from the central Florida phosphate district","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10"," Journal Article","1273","S. D. Webb","2008","Revision of the extinct Pseudoceratinae (Artiodactyla; Ruminantia; Gelocidae)","Bulletin of the Florida Museum of Natural History","48","2","17-58","Revision of the extinct Pseudoceratinae (Artiodactyla; Ruminantia; Gelocidae)","1349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
